R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
D,45505.00003472222,45505.037986111114,70C16345,26023973,70R01709,16345,TRLU9680267,2200,GTHA,D39062506,A01,B08
R,45505.00003472222,45505.037986111114,70C16345,26023973,70R01709,16345,MRSU0627091,2200,HBCX,R39062503,A01,B08
R,45505.00009259259,45505.01106481482,50H46259,26023974,50RM03307,46259,WHSU2969766,2200,HBCX,R39062505,A03,B08
D,45505.00019675926,45505.01793981482,50H13177,26023975,51R25016,13177,WHLU3402909,4250,GTHA,D39062504,B05,B09
D,45505.00033564815,45505.02005787037,51D66598,26023976,51R00048,66598,IAAU2813160,2200,GTHA,D39062510,A01,A05
R,45505.00033564815,45505.02005787037,51D66598,26023976,51R00048,66598,TIIU4569900,4500,HBCX,R39062507,A01,A05
R,45505.00052083333,45505.02179398148,70C05807,26023977,70R00699,05807,WHLU2881582,2200,HBCX,R39062509,G02,G04
R,45505.00059027778,45505.01886574074,51C77180,26023978,51R02366,77180,BMOU6646052,4500,HBQC,R39062511,B02,G04
R,45505.00064814815,45505.01357638889,70C11045,26023979,70R01039,11045,UETU2181321,2200,HBCX,R39062513,A01,B09
R,45505.00068287037,45505.01384259259,70C02931,26023980,70R02094,02931,BHCU3251549,2200,HBCX,R39062441,B04,B08
R,45505.00071759259,45505.07460648148,62C04246,26023981,53R0445,04246,CMAU3050308,2200,HBCX,R39062512,E04,E03
D,45505.00071759259,45505.07460648148,62C04246,26023981,53R0445,04246,WHSU2560850,2200,CAPR,E39062491,E04,E03
D,45505.00071759259,45505.07460648148,62C04246,26023981,53R0445,04246,WHSU0009555,2200,CAPR,E39062493,E04,E03
D,45505.000925925924,45505.02506944445,51C55761,26023982,51R02032,55761,OOLU9917981,4500,GTHA,D39062514,G02,A05
D,45505.000914351855,45505.02394675926,51C66652,26023983,51R30510,66652,ESDU4072485,4500,GTHA,D39062188,E04,G04
R,45505.0009375,45505.01994212963,62C08343,26023984,62R00685,08343,TIIU2202561,2200,HBCX,R39062519,A01,B09
R,45505.00101851852,45505.01230324074,50H38694,26023985,51R16167,38694,CAAU6196815,4500,HBCX,R39062520,B05,B08
R,45505.00101851852,45505.013645833336,70C04576,26023986,70R00620,04576,TWCU2138011,2200,HBCX,R39062252,A01,E03
D,45505.00101851852,45505.04990740741,61H03738,26023987,61R01080,03738,HLHU8405315,4500,GTHA,D39062523,B04,B08
R,45505.00101851852,45505.04990740741,61H03738,26023987,61R01080,03738,OOLU4288572,4200,HBCX,R39062521,B04,B08
D,45505.00104166667,45505.01590277778,50H45365,26023988,50RM02831,45365,GCXU2614649,2200,GTHA,D39062516,B02,G04
D,45505.00130787037,45505.02271990741,61C27100,26023989,51R27344,27100,TRLU6944089,4500,GTHA,D39062522,G02,E03
D,45505.00130787037,45505.052928240744,51C40250,26023990,51R00167,40250,WHLU5780908,4500,CAPR,E39062705,B02,E03
R,45505.00130787037,45505.052928240744,51C40250,26023990,51R00167,40250,ZCSU7533819,4500,HBCX,R39062524,B02,E03
R,45505.00130787037,45505.050092592595,71C06351,26023991,71R00154,06351,BMOU9773024,4530,HBCX,R39062527,D02,B09
D,45505.00146990741,45505.01846064815,61C11837,26023992,61R04775,11837,TWCU2124770,2200,GTHA,D39062518,G02,G04
D,45505.00162037037,45505.052928240744,51D64425,26023993,51R26276,64425,IAAU2762503,2200,GTHA,D39062539,E04,B09
R,45505.00162037037,45505.052928240744,51D64425,26023993,51R26276,64425,EITU0444518,2200,NHAR,R39062501,E04,B09
D,45505.00168981482,45505.04289351852,51D13656,26023994,51R13446,13656,FBIU0201934,2200,GTQC,D39062540,B02,B09
R,45505.00168981482,45505.04289351852,51D13656,26023994,51R13446,13656,UACU5686884,4500,HBQC,R39062543,B02,B09
D,45505.00170138889,45505.0162037037,61C11656,26023995,61R04401,11656,EGSU3597920,2200,GTHA,D39062541,A03,A05
R,45505.00177083333,45505.00775462963,60C10294,26023996,60R00547,10294,GCXU6045520,4500,HBCX,R39062544,B05,B08
R,45505.00184027778,45505.03005787037,51D38839,26023997,51R33420,38839,EMCU5383321,4530,HBCX,R39062545,D02,B09
R,45505.00188657407,45505.018472222226,71C08934,26023998,71R00177,08934,DRYU9910473,4500,HBCX,R39062546,A01,E03
D,45505.00189814815,45505.012824074074,50LD13025,26023999,50R02122,13025,FFAU4546780,4500,GTHA,D39062542,A01,A05
R,45505.00201388889,45505.02209490741,50H14116,26024000,51R26683,14116,SEGU9738566,2230,HBCX,R39062547,D02,B08
R,45505.0021875,45505.01712962963,50H53800,26024001,51R25026,53800,OOLU6246540,4530,HBCX,R39062550,D02,G04
R,45505.00221064815,45505.019641203704,70H04790,26024002,70R02209,04790,WHSU0166831,2200,HBCX,R39062551,B04,B08
D,45505.00225694444,45505.028344907405,51C76094,26024003,51R25882,76094,WHSU0199959,2200,GTHA,D39062548,B05,A05
R,45505.00236111111,45505.01828703703,62M0888,26024004,62R00033,M0888,TLLU3342451,2200,HBCX,R39062553,A01,A05
R,45505.00234953704,45505.02425925926,51C16344,26024005,51R1156,16344,FSCU5870933,4530,HBCX,R39062552,D02,B08
R,45505.002488425926,45505.00994212963,50LD20713,26024006,51R17542,20713,SKHU9416219,4500,HBCX,R39062556,B02,B08
D,45505.00263888889,45505.028020833335,50H11919,26024007,50RM03331,11919,MAGU5658771,4500,GTHA,D39062557,A01,A05
R,45505.00267361111,45505.025613425925,70C01451,26024008,51R9732,01451,TGBU2153200,2200,HBCX,R39062558,A03,A05
R,45505.002754629626,45505.02422453704,93H03775,26024009,51R33585,03775,TWCU2133339,2200,HBQC,R39062490,B02,G04
