R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
R,45597.003113425926,45597.01412037037,62H03383,26882651,62R00692,03383,IAAU2697244,2200,HBCX,R40434020,B02,A06
R,45597.00334490741,45597.03256944445,79C05013,26882652,51R18549,05013,TRIU8596732,4530,HBCX,R40434023,D02,B09
D,45597.00336805556,45597.030324074076,51C23550,26882653,51R30779,23550,SEGU4470594,4500,GTHA,D40434018,B03,B09
R,45597.0033912037,45597.025358796294,70H05067,26882654,70RM00119,05067,TCNU4164179,4500,HBCX,R40433839,B03,B09
D,45597.0034375,45597.01634259259,51D08016,26882655,51R21217,08016,NSSU7133771,4500,GTHA,D40434022,A01,B08
D,45597.00344907407,45597.01666666667,61H13954,26882656,61R03080,13954,WHSU6333936,4500,GTHA,D40434021,A03,A06
D,45597.00349537037,45597.02446759259,50H23667,26882657,50R04395,23667,EITU3052444,2200,GTHA,D40434031,A01,A05
R,45597.00349537037,45597.02446759259,50H23667,26882657,50R04395,23667,CSNU1679750,2200,HBCX,R40434026,A01,A05
D,45597.003703703704,45597.0597337963,51C55924,26882658,51R16183,55924,TCLU6063576,4260,GTHA,D40434027,B02,B08
R,45597.003796296296,45597.02873842593,51D62654,26882659,51R23417,62654,SEGU9221296,4530,HBCX,R40434028,D02,B08
D,45597.00381944444,45597.027094907404,61C03943,26882660,61R04405,03943,TCKU6300860,4500,GTHA,D40434024,A03,E09
R,45597.003854166665,45597.01939814815,71H01152,26882661,71R00176,01152,EMCU6209314,2200,HBCX,R40434030,B03,B08
R,45597.003958333335,45597.03277777778,50H05529,26882662,51R34131,05529,MERU5200631,2530,HBCX,R40434033,D02,E09
D,45597.00414351852,45597.01903935185,50H17773,26882663,51R17332,17773,TCNU5077700,4500,GTHA,D40434035,B02,B08
R,45597.00414351852,45597.0649537037,65H03544,26882664,65R00650,03544,BMOU9233746,4530,HBCX,R40434039,D02,B08
D,45597.00414351852,45597.0649537037,65H03544,26882664,65R00650,03544,OOLU6260208,4530,GTHA,D40434041,D02,B08
R,45597.004155092596,45597.02811342593,51C19341,26882665,51R18154,19341,TLLU4070018,4500,HBCX,R40434038,A03,G04
D,45597.004155092596,45597.02811342593,51C19341,26882665,51R18154,19341,NBYU0125186,2200,GTHA,D40434043,A03,G04
R,45597.004166666666,45597.02974537037,70H01909,26882666,70R00140,01909,CSLU2371847,2200,HBCX,R40434050,A01,A06
D,45597.004166666666,45597.02974537037,70H01909,26882666,70R00140,01909,EGHU3707330,2200,GTHA,D40434034,A01,A06
R,45597.00420138889,45597.04313657407,93H01021,26882667,93R00805,01021,UETU2624409,2200,HBCX,R40434040,G02,A05
D,45597.004212962966,45597.02829861111,50LD13062,26882668,50R02294,13062,CLKU5002420,4500,GTHA,D40434036,B03,A06
D,45597.00439814815,45597.06180555555,51C25527,26882669,51R04218,25527,SITU9139680,4500,CAPR,E40434303,A01,E09
R,45597.00439814815,45597.06180555555,51C25527,26882669,51R04218,25527,NSSU7047061,4500,HBCX,R40434044,A01,E09
R,45597.0044212963,45597.02615740741,51C92539,26882670,51R32761,92539,TCLU2939090,2200,HBCX,R40434045,B03,B09
D,45597.00446759259,45597.020208333335,51C68363,26882671,50R02628,68363,EISU2292278,2200,GTHA,D40434042,B05,B09
R,45597.00457175926,45597.03915509259,51C14822,26882672,51R13333,14822,SUDU6252586,4530,HBCX,R40434047,D02,B08
D,45597.004594907405,45597.03563657407,70G00168,26882673,70R02281,00168,STXU2030763,2200,GTHA,D40434046,B05,E09
D,45597.004745370374,45597.02609953703,51D05191,26882674,51R05070,05191,BEAU5006009,4500,GTHA,D40434048,B05,E09
R,45597.004745370374,45597.07369212963,50H17024,26882675,51R03544,17024,FBIU5368210,4530,HBCX,R40434049,D02,E09
D,45597.004745370374,45597.07369212963,50H17024,26882675,51R03544,17024,BEAU9709421,4530,CAPR,E40434347,D02,E09
R,45597.00476851852,45597.03451388889,50H02540,26882676,51R27457,02540,TRLU9654000,2200,HBCX,R40434051,G02,G04
D,45597.00498842593,45597.02947916667,51D64850,26882677,51R23859,64850,TEMU0779597,2200,GTHA,D40434060,B02,B08
