R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
D,45536.00519675926,45536.040555555555,71C07841,26323825,71R00154,07841,FCIU9716402,4500,GTHA,D39539124,B02,B08
R,45536.005266203705,45536.06829861111,61E03476,26323826,61R04787,03476,SEGU9282687,4530,HBCX,R39539126,D02,E10
D,45536.0053125,45536.01545138889,15C14373,26323827,51R09579,14373,DJLU2012813,2200,GTHA,D39539125,B04,B08
R,45536.00545138889,45536.03519675926,70C13433,26323828,70R02598,13433,ZIMU3067820,2200,HBCX,R39539128,B04,A05
D,45536.00545138889,45536.03519675926,70C13433,26323828,70R02598,13433,NBYU8084519,4500,GTHA,D39539131,B04,A05
D,45536.005474537036,45536.02489583333,51D18591,26323829,51R33529,18591,TWCU2200606,2200,GTHA,D39539127,A02,A05
R,45536.005520833336,45536.01660879629,38H00711,26323830,38R01280,00711,SKLU2037968,2200,HBCX,R39539129,A03,E10
R,45536.00561342593,45536.01866898148,63C15489,26323831,63R00465,15489,MNBU9092824,4530,HBCX,R39539130,D02,B08
R,45536.00575231481,45536.074479166666,51D13520,26323832,51R19086,13520,OTPU6386041,4530,HBCX,R39539085,E04,G04
D,45536.006006944444,45536.02563657407,61C24988,26323833,61R04912,24988,YMMU6493961,4500,GTHA,D39539142,B04,B08
R,45536.006006944444,45536.02563657407,61C24988,26323833,61R04912,24988,ZCSU6808911,4500,HBCX,R39539132,B04,B08
R,45536.00601851852,45536.02984953704,51C32199,26323834,50RM00896,32199,GMOU9018590,4530,HBCX,R39539133,D02,G04
R,45536.006273148145,45536.01777777778,50LD17299,26323835,50RM03109,17299,CMAU3745080,4500,HBCX,R39539134,G02,G04
R,45536.00633101852,45536.01122685185,60H06494,26323836,93R01001,06494,FCIU6177713,2200,HBCX,R39539137,B02,B08
R,45536.00675925926,45536.02111111111,93C07832,26323837,93R00472,07832,SITU2608424,2200,HBCX,R39539144,G02,B08
D,45536.00697916667,45536.03895833333,61L2907,26323838,61R1197,L2907,HASU4404711,4500,GTHA,D39539143,B04,B08
R,45536.00697916667,45536.03895833333,61L2907,26323838,61R1197,L2907,FSCU8032235,4500,HBCX,R39539149,B04,B08
R,45536.00699074074,45536.027349537035,60V5386,26323839,60R02512,V5386,BEAU5043677,4500,HBCX,R39539146,B02,E10
D,45536.00708333333,45536.04681712963,68H03677,26323840,68R00147,03677,KKFU6782420,4530,GTHA,D39539145,G02,E10
R,45536.007199074076,45536.01832175926,70H00134,26323841,70R00708,00134,WHSU2759501,2200,HBCX,R39539148,A02,A05
R,45536.00739583333,45536.02642361111,50LD15990,26323842,50R03762,15990,GESU6234356,4500,HBCX,R39539151,A02,G04
D,45536.00744212963,45536.04707175926,68H03765,26323843,68R00076,03765,ONEU9086721,4530,GTHA,D39539150,G02,E10
R,45536.00745370371,45536.01608796296,70H04418,26323844,51R22670,04418,DFSU1547866,2200,HBCX,R39539152,B02,E10
R,45536.0075,45536.021215277775,47H04972,26323845,51R19197,04972,TTNU8071755,4530,HBCX,R39539153,D02,B08
R,45536.00748842592,45536.02107638889,61C38512,26323846,61R06086,38512,TCNU9046672,4500,HBCX,R39539154,B04,G04
D,45536.0075,45536.0365625,70C10975,26323847,,10975,SEGU6613077,4500,CAPR,E39539118,E02,E10
D,45536.007743055554,45536.024733796294,51C74655,26323848,51R03372,74655,CMAU2347631,2200,GTHA,D39539155,A02,B08
R,45536.0080787037,45536.11211805556,50E11567,26323849,50RM02725,11567,EMCU5673779,4530,HBCX,R39539156,D02,B08
