R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
R,45566.000393518516,45566.03505787037,50H03726,26589880,51R12764,03726,ZCSU6512920,4500,HBCX,R39964977,B02,B09
D,45566.00041666667,45566.029398148145,50H35701,26589881,51R25945,35701,TEMU0209995,2200,GTHA,D39964072,B05,B08
R,45566.000451388885,45566.02196759259,61E02520,26589882,51R33792,02520,GLDU5105860,2200,HBCX,R39964979,A03,A06
R,45566.000439814816,45566.02077546297,50H06455,26589883,50RM03704,06455,OOLU6434568,4530,HBCX,R39964978,D02,G04
R,45566.0005787037,45566.01457175926,70C09826,26589884,70R00719,09826,YMLU3588870,2200,HBCX,R39964980,G02,G04
R,45566.000659722224,45566.03212962963,50H01820,26589885,50R03066,01820,TCKU7221067,4500,HBCX,R39964982,B03,B09
D,45566.00069444445,45566.02359953704,60H12056,26589886,60RM00059,12056,MSKU5982647,2200,GTHA,D39964384,D01,B09
R,45566.00069444445,45566.065092592595,51C69156,26589887,51R08718,69156,BEAU5161279,4500,HBCX,R39964983,A03,B08
D,45566.00077546296,45566.07486111111,51C92719,26589888,60R04642,92719,TEMU6441950,4500,GTHA,D39964981,B05,A05
R,45566.00077546296,45566.07486111111,51C92719,26589888,60R04642,92719,TRHU8844500,4500,HBCX,R39964986,B05,A05
D,45566.000810185185,45566.0633912037,15C22018,26589889,51R18282,22018,FTAU1617297,2200,GTHA,D39964976,B02,A05
R,45566.001076388886,45566.019849537035,65C14506,26589890,65R0128,14506,SEKU9078512,4530,HBCX,R39964988,D01,G04
R,45566.001238425924,45566.040138888886,51C47430,26589891,60R03542,47430,ONEU2319550,2200,HBCX,R39964990,A02,B09
D,45566.001238425924,45566.040138888886,51C47430,26589891,60R03542,47430,BMOU3124120,4200,GTHA,D39964970,A02,B09
D,45566.00146990741,45566.01828703703,61H12281,26589892,61RM00107,12281,TGBU9230611,4500,GTHA,D39964991,D02,G04
D,45566.00148148148,45566.052777777775,50H29603,26589893,60RM00397,29603,TEMU7112667,4500,GTHA,D39964992,A03,A05
R,45566.0015162037,45566.025509259256,50H10387,26589894,51R08214,10387,OERU4080024,4530,HBCX,R39964518,D01,B09
D,45566.001550925925,45566.07444444444,60C20684,26589895,60R01339,20684,TLLU2866120,2200,GTHA,D39964993,B02,A05
R,45566.001550925925,45566.07444444444,60C20684,26589895,60R01339,20684,MSKU0255666,4500,HBCX,R39964995,B02,A05
D,45566.001608796294,45566.027291666665,50H09924,26589897,50R02126,09924,HMMU6778859,4500,GTHA,D39964994,D02,E09
R,45566.001608796294,45566.03104166667,51D65066,26589898,51R5248,65066,MRSU5279363,4500,HBCX,R39964997,A02,E09
D,45566.00173611111,45566.0559375,51C69295,26589899,51R09897,69295,CSNU8335762,4500,GTHA,D39964996,G02,A05
D,45566.00184027778,45566.033541666664,72C04484,26589900,72R00300,04484,YMLU9025554,4500,GTHA,D39964999,A03,B08
R,45566.00194444445,45566.05585648148,51D07506,26589901,51R16180,07506,SITU9073793,4500,HBCX,R39965000,A03,A05
R,45566.00195601852,45566.02804398148,29K02409,26589902,29R51593,02409,SKLU1428211,2200,HBCX,R39965001,G02,G04
D,45566.002175925925,45566.037881944445,70H01120,26589903,70R01642,01120,TLLU2962993,2200,GTHA,D39965006,B05,B09
R,45566.002175925925,45566.037881944445,70H01120,26589903,70R01642,01120,MSKU0904404,4500,HBCX,R39965004,B05,B09
D,45566.00224537037,45566.025347222225,51C16166,26589904,51R06484,16166,DJLU2156718,2200,GTHA,D39965002,B03,B08
D,45566.002291666664,45566.07141203704,51C47804,26589905,51R19647,47804,UETU6525847,4500,GTHA,D39965003,A03,A05
